Obs,sp1_lbs,sp1_val,sp2_lbs,sp2_val,sp3_lbs,sp3_val,sp4_lbs,sp4_val,tda,costda,kpcnt,LEN,VHP,kpcnt2
4,9302,10895,2297,1537,3601,8153,3450,4573,11.59097222,2066,0.064194195,78.9,777,0.25
123,89419,139505,116356,70550,60856,121048,3734,3400,121.7881944,1715.3,0.606952553,79.5,542,0.75
86,78703,166350,22112,11368,2173,5579,9413,7093,48.14027778,1500.2,1,68.5,527,1
47,27079,60093,81530,48176,20611,61800,10296,12137,27.34375,1606.6,0.286152871,75.1,432,0.5
91,58714,181256,1034,686,243,426,236,294,55.10416667,1561.5,0.782936388,74.7,542,1
100,92517,222604,3375,1532,8022,14777,4152,4335,65.5625,1429.5,0.490736342,78.7,430,0.5
90,32873,31074,365702,248802,20739,21741,4860,7394,53.14791667,1896.6,0.416016177,82.7,522,0.5
29,22269,49335,0,0,157,361,70,88,21.97916667,1372,0.150064079,76.3,362,0.25
77,75871,193029,0,0,5380,16801,195,256,43.14513889,1909.2,0.271359458,89.4,632,0.5
63,40981,98746,0,0,0,0,286,274,33.73541667,1596.1,0.287871756,82.9,422,0.5
109,123382,201309,830,498,390,1070,2184,3693,79.91666667,1677.3,0.579142905,78.7,542,0.75
106,84423,188097,140551,79760,52349,124541,25064,23992,72.85347222,1831.1,0.476521411,82.6,522,0.5
105,96844,238540,0,0,9156,14484,286,346,71.425,2006.8,0.72702507,82.7,722,0.75
12,27542,97157,0,0,0,0,0,0,17.375,1820.6,0.128246268,84.2,622,0.25
27,16675,47392,34337,35553,21420,64182,14932,19753,21.82986111,1662.2,1,77,522,1
44,24337,50518,63990,31053,4428,9848,15320,19653,26.36111111,1743,0.290977468,65.8,472,0.5
110,146692,416782,105805,82609,71298,201728,17949,27043,80.93888889,1769.4,0.608417592,79.1,542,0.75
59,35074,36003,63032,35556,17800,36120,2156,2449,32.13680556,2103.7,0.394244212,82.9,802,0.5
42,44083,65702,2517,1197,18200,37580,902,845,25.99305556,2064.9,0.226271085,85.1,802,0.25
31,41885,94599,965,725,1441,3651,968,1016,22.09722222,2083.1,0.173848355,82.2,902,0.25
39,35827,62786,24220,12889,8079,16862,3259,3665,25.04166667,2195.5,0.219113924,85.3,807,0.25
19,72227,204983,4820,4793,6593,19134,1766,3044,20.0625,2292.5,0.156276687,99.2,722,0.25
65,78224,178058,16481,8505,37892,55110,166,171,36.23055556,2097.1,0.188103907,78.9,732,0.25
5,627,1388,50820,36893,0,0,5221,7600,11.75416667,2224.4,0.064048373,82.3,602,0.25
26,16156,29952,41201,22783,9948,22409,11499,12968,21.5875,2126.1,0.188171224,76.7,952,0.25
46,21562,51512,51409,45271,8457,21786,12377,15475,26.66458333,2007.6,0.159320763,74.5,627,0.25
14,28927,72039,4420,4393,8053,22326,1090,1791,19.07430556,2125.7,0.702445212,81.2,732,0.75
50,39225,117754,10247,4639,5127,12415,14144,15418,28.60138889,1929.4,0.171760954,77.7,722,0.25
75,4701,11407,425587,368996,2961,9713,43304,63477,42.00902778,2330.5,0.187242179,76.7,952,0.25
78,78915,159062,990,990,3761,9163,749,878,43.82638889,2262.4,0.338474204,82.7,852,0.5
55,16283,29911,66807,40624,6540,12681,580,700,29.95763889,2095.5,0.526130514,89,852,0.75
84,81370,195382,920,690,4093,5288,619,979,46.83333333,1889.7,0.330898389,80.2,626,0.5
37,27381,42042,2333,1093,1610,3997,0,0,24.60208333,1494.1,0.164680857,85.7,497,0.25
73,56651,131450,0,0,0,0,1376,1017,40.94791667,2066.2,0.337635582,84.2,962,0.5
7,367,1468,176818,117777,214,681,12004,23236,12.54166667,2632.4,0.055547386,91.4,1502,0.25
71,64661,179109,0,0,0,0,1015,1278,39.70833333,1795.8,0.344776396,89.4,602,0.5
53,31344,81765,22340,11307,11135,34260,2941,3979,29.71875,2085.6,0.711116843,90.8,852,0.75
